date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:42	717645/717645	---M-Z	200	added ('OK')	text/html	etag:%22cb65eab2053904cc78390b101f98749c%22	https://vistorastudios.framer.website/	C:/Users/rekhi/Desktop/vistora/vistora/vistorastudios.framer.website/index.html	(from )
15:35:43	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22d0d66eb4785104cae1ede3e3d036bca0%22	https://vistorastudios.framer.website/robots.txt		(from )
15:35:43	2592/2592	---MC-	200	added ('OK')	image/png	etag:%22349c6025b69dc0165c9173e401fd0483%22	https://framerusercontent.com/images/a2bWDHY139DVShdIW1boFzJwO2Q.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/a2bWDHY139DVShdIW1boFzJwO2Q.png	(from https://vistorastudios.framer.website/)
15:35:46	929685/929685	---MC-	200	added ('OK')	image/png	etag:%2274ce09ac9e5ca0d9f0c98658f17cc3ae%22	https://framerusercontent.com/images/9A4i7ZvhlFjALuoJaYdY4epLTXM.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/9A4i7ZvhlFjALuoJaYdY4epLTXM.png	(from https://vistorastudios.framer.website/)
15:35:47	5889/5889	---MC-	200	added ('OK')	image/png	etag:%22f691202d634be3b55612bfe047357d64%22	https://framerusercontent.com/images/EDLUTAnbrk5Mc9TWwD3yb76Y1g.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/EDLUTAnbrk5Mc9TWwD3yb76Y1g.png	(from https://vistorastudios.framer.website/)
15:35:48	210514/210514	---M-Z	200	added ('OK')	text/html	etag:%22fa3f15e0d1f529c2b1330512788090ec%22	https://vistorastudios.framer.website/contact	C:/Users/rekhi/Desktop/vistora/vistora/vistorastudios.framer.website/contact.html	(from https://vistorastudios.framer.website/)
15:35:52	267293/267293	---M-Z	200	added ('OK')	text/html	etag:%228971b7da741f193934d1ccf3bd2e42f0%22	https://vistorastudios.framer.website/updates	C:/Users/rekhi/Desktop/vistora/vistora/vistorastudios.framer.website/updates.html	(from https://vistorastudios.framer.website/)
15:35:52	381271/381271	---MC-	200	added ('OK')	image/png	etag:%22d9c2a7934ff4f64287a4ba892c914bf6%22	https://framerusercontent.com/images/ETgoVdeITLLIYCHTFNeVuZDMyQY.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/ETgoVdeITLLIYCHTFNeVuZDMyQY.png	(from https://vistorastudios.framer.website/)
15:35:53	338669/338669	---MC-	200	added ('OK')	image/png	etag:%22df59a02808b1796c97f9bf6cdaeaee5d%22	https://framerusercontent.com/images/rlizSNVuxrrqd6I5hGaSxwqn0Os.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/rlizSNVuxrrqd6I5hGaSxwqn0Os.png	(from https://vistorastudios.framer.website/)
15:35:54	309178/309178	---MC-	200	added ('OK')	image/png	etag:%22741f61b7ee23631b8b6c5091ac8e8eea%22	https://framerusercontent.com/images/X0pqhTmlK8gdYqPbljhuLXlyd0I.png	C:/Users/rekhi/Desktop/vistora/vistora/framerusercontent.com/images/X0pqhTmlK8gdYqPbljhuLXlyd0I.png	(from https://vistorastudios.framer.website/)
